uid,name,gender,ethnicity,rank_2015,age,party_membership_age,rank_2005,edu_2005,gdpidx,gdpidx_1st,gdpidx_2nd,gdpidx_3rd,f2gdpidx,logltavg,gdpidx_rl,gdpidx_1st_rl,gdpidx_2nd_rl,gdpidx_3rd_rl,f2gdpidx_rl,logltavg_rl
1296,乃依木·亚森,1,0,7,52.7041095890411,30.027397260274,5,4,14.5,8.649999999999999,14.100000000000001,14.899999999999999,15,1.0890860557556152,0.24142149813433222,-1.7947290697795095,1.4215395210742654,0.1723924972266661,2.889710180930729,-0.03693460784692575
1297,吉尔拉·衣沙木丁,1,0,6,43.1178082191781,18.6,5,5,14.212499999999999,7.925000000000001,14.6875,14.462499999999999,14.200001307896205,0.6383237168192863,0.15562785321925526,-1.3018838585817587,0.14548298736622575,0.585917575958823,-0.11623271966347104,-0.06959931524196465
1298,伊力哈木·沙比尔,1,0,5,44.4465753424658,14.679452054794499,5,5,15,9,15.400000000000006,14.799999999999997,NaN,1.74137282371521,-1.278988950006154,1.1983426928293102,-1.0358492740064693,0.16624118969214008,NaN,-0.21553318416984588
1299,栗智,1,1,6,54.706849315068496,34.3643835616438,5,5,12.3875,7.4125,14.5125,13.7625,12.362499237060547,-0.2657981142401695,0.6631238668082623,-0.6731970718302651,-0.21801271009369005,0.9021964045779755,-0.6296452725916377,-0.08488812185370559
1300,朱海仑,1,1,6,47.5342465753425,25.189041095890403,5,4,13.337499999999999,7.6875,16.6875,12.924999999999999,13.600001017252604,-0.18210294842720032,0.9663822482633336,0.5078615279705023,2.688307253934183,-0.3375937967297294,0.2190506885127682,-0.11475256576396611
1301,李豆罗,1,1,5,59.0465753424658,35.5260273972603,5,4,14.939999999999998,4.979999999999999,18.220000000000002,12.940000000000001,15.860000610351562,1.5450674533843993,0.9804698727417482,0.4751979068972497,1.199374357307807,-0.5221480182606446,0.5442296340112134,0.04238935021257275
1302,胡宪,1,1,5,51.1232876712329,27.273972602739697,5,4,14.622222222222222,5.5,19.011111111111113,12.344444444444443,14.844444274902344,1.1789518197377522,0.10189638074722883,-0.10731367273472756,0.049739530225000834,-0.05097686850606639,-0.16828143843337523,0.02686580598705678
1303,陈俊卿,1,1,5,42.2027397260274,13.013698630137,5,5,12.375,4.550000000000001,13.95,11.450000000000003,11.599998474121094,1.8803515434265137,-0.2656499564855626,0.039351212877520116,-0.11194893882218608,-0.37096108414901996,-0.007915589168144332,-0.07845310720833064
1304,郭安,1,1,5,42.7835616438356,20.3534246575342,4,5,10.700000000000003,3.0999999999999943,11.900000000000006,9.799999999999997,NaN,2.2264318466186523,0.09446134732854372,-1.014960407822533,1.2459449812382468,0.5531186680357894,NaN,-0.14205301350096558
1305,钟家明,1,1,6,63.8794520547945,32.6082191780822,6,3,9.055,3,9.200000000000003,10.900000000000006,12.950000762939453,1.1034454107284546,0.32383165179309975,0.5551698735021464,0.6538722097786601,0.9861119080461992,1.1755848432827165,0.014516050026019748
1306,刘积福,1,1,5,56.0438356164384,35.6109589041096,5,5,12.824999999999998,5.8199999999999985,14.999999999999996,12.660000000000002,13.616666158040365,-0.1029238033418854,0.3635146595069562,1.4153276468028206,-0.27357601951764543,-0.7296100959885427,0.06182460827284029,-0.09727956966533478
1307,王忠武,1,1,5,48.786301369863,25.238758909530517,5,4,11.199999999999996,6.149999999999999,12,12.950000000000003,15.099998474121094,-0.11579245794564486,-0.5989181897619308,2.484900072242934,-2.1045333079928796,0.13915896771118674,0.11887378229534061,-0.17955061787252058
1308,蔡晓明,1,1,6,48.7013698630137,25.189041095890403,5,4,14.225,5.774999999999999,18.6625,13.3375,13.637499809265137,0.25348083628341556,0.12228445363573168,0.4758164312198699,0.008855904297540407,-0.13458476659167293,0.250730602829761,-0.018679507077191806
1309,王萍,0,1,5,47.2054794520548,27.5205479452055,4,5,13.2375,5.762500000000001,17.325,11.762500000000001,12.583334604899088,0.14542348682880402,0.25871412187732973,0.5252377133332629,0.47815786661096227,-0.7257459895263881,0.1319373278841115,-0.032483718796754754
1310,曾庆红(江西省),0,1,6,43.2849315068493,21.0191780821918,4,4,13.52,4.919999999999999,15.6,13.24,13.639999389648438,0.716126236319542,-0.6428750599670683,-1.4549601460090336,-0.6647731050192597,0.4817580834203044,0.2664411875238862,0.010315155432258697
1311,殷美根,1,1,5,41.9506849315068,20.186301369863,4,5,11.866666666666669,4.1333333333333355,13.533333333333331,11,10.400001525878906,1.1307180722554524,-0.05772227166876296,-0.7188832949156108,1.2701288531787727,-0.7331095304552839,0.21114265036833033,0.21541555492287087
1312,钟志生,1,1,5,42.1178082191781,19.8493150684932,5,5,12.616666666666667,5.6166666666666645,13.733333333333333,12.733333333333334,12.275001525878906,1.2842290202776592,-0.2669817610376654,-0.025159821336869448,-1.4884773609899469,1.470691761778167,-0.07358388285943492,0.044136606403357245
1313,刘上洋,1,1,6,53.958904109589,33.5260273972603,6,5,12.174999999999997,3.299999999999997,12.299999999999997,10,11.200000762939453,-0.25545915216207504,2.1611321489011406,0.5183547971579022,2.876348352531581,-1.575758464380549,-0.1215939586848418,-0.013669228620349892
1314,赵智勇,1,1,6,50.2904109589041,31.775342465753397,6,6,15.400000000000006,6.299999999999997,17.599999999999994,16.900000000000006,14.099998474121094,0.11935718357563019,0.23189893757927413,0.8812356144608553,-0.39173542389756455,1.587499491913128,0.17424428839890674,-0.07856270793949613
1315,钟利贵,1,1,6,51.9561643835616,28.158250951029594,5,4,14.69090909090909,4.863636363636362,19.272727272727273,12.727272727272728,14.270000457763672,0.7083012637766924,0.10254446632680954,-0.7898807527444245,0.9807923602362245,-0.3374175982266455,0.40306479282001156,0.05336407146814288
1316,许爱民,1,1,6,48.5342465753425,29.1068493150685,5,5,14.363636363636362,4.909090909090907,17.081818181818182,12.854545454545454,14.381818597966975,0.6902830140157179,-0.12857062063918387,-0.044666606394679946,-0.8716168013499666,0.22416512332951466,-0.08040901962551149,-0.0065115687627339035
1317,虞国庆,1,1,5,49.7890410958904,26.16229744642652,5,5,15.350000000000001,6.600000000000001,16.4,16.299999999999997,14.549999237060547,0.6094731986522675,-0.296994976743319,0.5489451551557563,-1.8157404135770574,1.7678223274230807,0.6549755284679089,-0.005444096627893878
1318,李放,1,1,5,47.8684931506849,22.769863013698597,5,5,14.549999999999997,6.375,18.5,10.575,14.075000762939453,0.7753137648105621,-0.3442733457690951,0.202352249597202,-0.04560304242035183,-1.0479780500013132,-0.5334282320757789,0.014087397269953714
1319,刘昌林,1,1,5,43.0356164383562,19.942290633725364,5,5,12.249999999999996,4.299999999999997,13.450000000000003,11.899999999999999,10.89999771118164,1.241384118795395,-0.042659328193403796,-0.14149444030327551,0.31407605759020457,0.629247702906015,-0.29036081208023196,-0.09467822905932985
1320,颜赣辉,1,1,5,43.4465753424658,20.186301369863,4,4,10.200000000000003,4,11.5,9.099999999999994,NaN,1.2327003479003906,0.9935469584781887,0.19300730883996992,2.024685105068291,0.9219777656611439,NaN,-0.15325225595306244
1321,舒晓琴,0,1,7,48.8684931506849,28.273972602739697,6,5,8.555,3.4000000000000057,12.099999999999994,8.400000000000006,11.400001525878906,0.3245837390422821,0.9348277139385497,1.2555835203393233,4.446515678747947,-0.7381098911547402,0.22623777779922474,0.21951221191742343
1322,姚亚平,1,1,6,49.7041095890411,19.6821917808219,5,6,13.228571428571428,3.500000000000002,18.471428571428568,12.742857142857144,14.242856706891741,0.23639748325305326,-0.7776264783218532,-0.5198223445280423,-0.9587397261418459,-0.7358472398003334,-0.39868630428813445,-0.05865825293283587
1323,邓保生,1,1,5,40.7808219178082,17.7671232876712,4,6,11.26666666666666,3.866666666666665,12.933333333333337,10.433333333333332,10.199996948242188,1.1593196392059326,0.08821892023295433,-0.39979657999879614,0.138132965959985,0.4774270890412038,0.20623531664594,-0.0711150114112978
1324,汪普生,1,1,5,58.709589041095896,34.378257763730836,5,3,8.910000000000002,3.3500000000000014,8.949999999999996,10.149999999999999,12.966667175292969,0.36917753517627716,-0.5615982554550976,0.052105536089956495,-0.8593829166004447,-1.3381737154254292,0.18047217290560225,0.017075482598800363
1325,邝小平,1,1,5,49.5369863013699,25.5205479452055,5,4,15.474999999999998,5.724999999999998,17.999999999999996,14.875,14.725000381469727,0.8910169750452042,0.9202191407114699,-0.03430982223341346,0.28855317882208,0.45910406686847427,-0.2030775718887906,0.16324296034994012
1326,陈卫民,1,1,5,45.9534246575342,22.189041095890403,5,5,13.066666666666663,6.233333333333332,14.383333333333335,12.216666666666667,12.425003051757812,1.2156825761000316,-0.09975244934356177,0.05660727487157097,0.7168330460999542,-0.1840975033982355,-0.09442482109061173,-0.11011117243635542
1327,李小豹,1,1,5,36.7780821917808,10.5095890410959,4,6,9.299999999999997,3.200000000000003,10.099999999999994,9,NaN,1.4504257440567017,-0.2410630659670978,-1.4505751993969578,1.2893804665827067,-0.3711554963099634,NaN,-0.09693771152348028
1328,刘南方,1,1,5,64.7972602739726,39.2,5,4,8.915,3.700000000000003,8.099999999999994,10.299999999999997,10.35000228881836,0.2793520614504814,0.001907927781833657,0.6347536805334466,0.12824256884536228,-0.5849103863119863,-1.1598656822116198,-0.009351358919439945
1329,谢亦森,1,1,6,50.5369863013699,28.0246575342466,5,4,13.199999999999998,6.2,17.27,11.53,13.066666497124565,0.45675820112228394,-0.14589863204439973,0.4589955756444977,-0.7283546622810492,-0.252485195365713,0.30156443133155253,-0.01241049692479848
1330,刘和平,1,1,5,50.6219178082192,26.929389564504106,5,5,13.889999999999997,5.57,17.65,13.34,13.111111958821615,0.6651363490149379,-0.5334207775109987,0.12025921931441616,-0.42726707726080554,-0.26067407907519374,-0.48292218866054665,-0.087307572173661
