uid,gender,ethnicity,rank_2015,age,party_membership_age,rank_2005,edu_2005
661,1,1,5,53.958904109589,30.1095890410959,5,3
662,1,1,5,50.041095890411,28.273972602739697,5,5
663,1,1,6,50.1232876712329,25.1041095890411,5,5
664,1,1,6,56.0438356164384,27.0246575342466,6,5
666,1,1,6,48.5342465753425,28.687671232876703,5,5
667,1,1,5,44.7835616438356,20.6,4,4
668,1,1,5,40.5287671232877,20.5150684931507,4,5
670,1,1,7,49.5369863013699,30.1095890410959,6,5
671,1,1,5,53.041095890411,29.157489367999112,5,5
672,1,1,5,49.7041095890411,29.9424657534247,5,5
673,1,1,6,49.4520547945205,25.85192793812537,5,5
674,1,1,6,41.6986301369863,21.6027397260274,5,4
676,1,1,5,42.9506849315068,16.5972602739726,3,6
677,1,1,6,53.7917808219178,32.9424657534247,5,5
679,1,1,6,49.9561643835616,20.1013698630137,5,5
680,1,1,5,40.6958904109589,15.1835616438356,5,5
681,1,1,6,55.53972602739729,33.3616438356164,5,5
682,1,1,5,47.8684931506849,29.1068493150685,4,6
683,1,1,5,48.7013698630137,27.358904109588998,3,4
684,1,1,5,36.9452054794521,14.597260273972601,4,5
686,1,1,5,52.5369863013699,30.4383561643836,5,5
687,1,1,6,47.9534246575342,29.857534246575298,6,5
688,1,1,6,59.627397260273995,32.2767123287671,6,4
689,1,1,6,51.7041095890411,30.1095890410959,6,6
690,1,1,6,50.4520547945205,30.6082191780822,5,5
691,0,1,6,49.4520547945205,26.273972602739697,5,5
692,1,1,5,45.9534246575342,20.6,5,4
693,0,1,5,44.7835616438356,13.095890410958901,4,5
694,1,1,6,44.2027397260274,19.8493150684932,5,4
695,1,1,5,51.5369863013699,30.276712328767097,4,4
696,1,1,5,43.5315068493151,19.1013698630137,4,6
697,1,1,5,54.53972602739729,33.5260273972603,5,5
698,1,1,6,44.0356164383562,20.2684931506849,5,4
699,1,1,6,48.5342465753425,27.9397260273973,5,4
700,1,1,5,54.0438356164384,30.1095890410959,5,4
701,1,1,6,40.6958904109589,21.3534246575342,4,6
702,1,1,5,41.5315068493151,21.3534246575342,4,5
703,1,1,5,48.0383561643836,23.6027397260274,5,4
704,1,1,5,45.0356164383562,17.2657534246575,4,5
705,1,1,7,50.8712328767123,27.0246575342466,6,5
706,0,1,6,42.9506849315068,22.1041095890411,6,4
707,1,1,7,59.709589041095896,39.6958904109589,7,4
708,1,1,7,54.8739726027397,31.3616438356164,6,4
709,1,1,7,61.630136986301395,40.6958904109589,7,4
710,1,1,7,61.712328767123296,39.613698630137,6,4
711,1,1,6,59.627397260273995,32.1945205479452,6,4
712,0,1,7,54.293150684931504,32.1095890410959,6,4
713,1,1,6,58.9616438356164,27.358904109588998,6,4
714,1,1,6,48.8684931506849,23.1041095890411,6,4
715,1,1,6,60.709589041095896,36.22028817885127,6,4
716,1,1,6,51.6219178082192,31.027397260274,5,4
717,1,1,6,60.380821917808206,27.0246575342466,6,4
718,0,1,6,51.7041095890411,29.6082191780822,5,4
719,1,1,6,54.958904109589,34.441095890411,6,4
720,1,1,6,46.2054794520548,22.684931506849303,5,4
721,1,1,6,48.372602739726,24.0219178082192,5,5
722,1,1,6,58.7945205479452,32.2767123287671,6,4
723,1,1,7,63.298630136986304,40.9479452054794,7,4
724,1,1,7,56.53972602739729,36.0301369863014,0,4
725,1,1,6,56.53972602739729,33.8602739726027,6,4
726,1,1,6,50.8712328767123,31.276712328767097,5,4
729,1,1,7,51.6219178082192,28.9397260273973,6,5
